,0,1,2,3,4,5,6,7,8,9,10,11,12,13
scpep1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5143213439285446,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mnt,1.3082073808385668,1.3083224258548614,1.3087827507154695,-0.0,21.592773520745524,6.749165224193223,-0.0,21.591907470637135,21.59797164159457,1.3086676483718502,1.3087827507154695,-0.0,21.592773520745524,21.592773520745524
itgb2,-0.0,2.340337611354486,-0.0,0.7919841219191488,-0.0,0.7919841219191488,0.7916992097492777,-0.0,-0.0,0.7919841219191488,-0.0,0.7920791202139625,0.7919841219191488,-0.0
hddc2,-0.0,0.7916992097492777,0.7920791202139625,-0.0,0.7919841219191488,-0.0,2.340337611354486,0.7918891373795894,0.7925543224269405,0.7919841219191488,-0.0,-0.0,0.7919841219191488,0.7919841219191488
tpd52l1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.77835220305967,-0.0,-0.0
pemt,1.513959739663473,-0.0,1.5145624855560609,1.5144419073819677,-0.0,-0.0,-0.0,1.5143213439285446,-0.0,1.5144419073819677,1.5145624855560609,-0.0,-0.0,-0.0
cdh1,-0.0,-0.0,17.994368568168532,-0.0,17.993646823638734,-0.0,17.991482023344012,17.99292515134921,17.997978374232645,17.993646823638734,-0.0,1.5145624855560609,17.993646823638734,17.993646823638734
cdh4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ckmt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcl6b,-0.0,-0.0,-0.0,-0.0,7.197061454196863,2.659275180453281,-0.0,7.196772828595823,7.198793814340058,-0.0,2.6594132866807656,-0.0,-0.0,7.197061454196863
clec10a,-0.0,-0.0,-0.0,-0.0,10.79579080449335,-0.0,-0.0,10.795357844426007,10.798389474713339,-0.0,-0.0,-0.0,-0.0,10.79579080449335
alox12,-0.0,-0.0,-0.0,-0.0,3.598464524201358,-0.0,-0.0,3.5983202186227663,3.5993306609308924,-0.0,-0.0,-0.0,-0.0,3.598464524201358
arvcf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
comt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.659275180453281,-0.0,-0.0,-0.0,-0.0
rtca,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dbt,-0.0,3.5980316507551606,3.5986088442238056,3.598464524201358,-0.0,-0.0,-0.0,-0.0,-0.0,3.598464524201358,-0.0,-0.0,3.598464524201358,-0.0
dazap2,-0.0,-0.0,2.134364696725099,-0.0,2.1342326183302225,-0.0,2.1338364682612183,-0.0,-0.0,2.1342326183302225,-0.0,-0.0,-0.0,2.1342326183302225
mcts1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.598464524201358
rem1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rnf17,1.1422159485823036,-0.0,-0.0,1.1426550419495745,-0.0,-0.0,-0.0,1.1425452471663857,-0.0,1.1426550419495745,1.142764850643938,-0.0,-0.0,-0.0
trappc10,0.7916042676543894,0.7916992097492777,0.7920791202139625,-0.0,-0.0,2.341012848454188,0.7916992097492777,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ccm2,-0.0,0.7916992097492777,-0.0,-0.0,2.341012848454188,0.7919841219191488,2.340337611354486,0.7918891373795894,-0.0,0.7919841219191488,0.7920791202139625,0.7920791202139625,-0.0,-0.0
wap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbrg4,2.6587228993700887,2.6588609472403713,-0.0,2.659275180453281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.659275180453281,-0.0
tmprss2,-0.0,2.1338364682612183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mx1,1.1422159485823036,13.804573092823224,-0.0,3.20685465807427,-0.0,1.1426550419495745,-0.0,1.1425452471663857,3.20834273603822,1.1426550419495745,-0.0,-0.0,-0.0,-0.0
fap,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gcg,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
